population,x,y
1.000000000000000,-89.3317367830,29.0406826938
2.000000000000000,-89.3608059333,28.9812090368
1.000000000000000,-89.2932869924,29.0848693000
1.000000000000000,-89.2884612107,29.0922689459
1.000000000000000,-89.2837833735,29.0846403399
1.000000000000000,-89.2697548179,29.0617548548
1.000000000000000,-89.2883134602,29.1072966702
1.000000000000000,-89.3222332832,29.0404583616
1.000000000000000,-89.3079071221,29.0476360940
11.000000000000000,-89.3030831721,29.0550381866
2.000000000000000,-89.3125861196,29.0552644936
1.000000000000000,-89.2889042323,29.0471828599
1.000000000000000,-89.2984052322,29.0474098012
1.000000000000000,-89.4040369447,28.9295478331
1.000000000000000,-89.4087217445,28.9371755599
1.000000000000000,-89.3944021280,28.9443738403
2.000000000000000,-89.4230415017,28.9299746929
1.000000000000000,-89.3941342970,28.9744532556
1.000000000000000,-89.3752640741,28.9589803352
11.000000000000000,-90.1808664939,29.1485666571
3.000000000000000,-90.1904558091,29.1487356774
1.000000000000000,-90.1808344105,29.1636550328
26.000000000000000,-90.1760558034,29.1560259851
69.000000000000000,-90.1856453164,29.1561956624
4.000000000000000,-90.1617249952,29.1331390311
1.000000000000000,-90.1713113554,29.1333087410
1.000000000000000,-90.1855823820,29.1863720590
1.000000000000000,-90.1808023187,29.1787429085
1.000000000000000,-90.1568441290,29.1707711361
1.000000000000000,-90.1616558429,29.1633136954
1.000000000000000,-90.2671176236,29.2104374509
4.000000000000000,-90.2048558583,29.1414427731
18.000000000000000,-90.2144466801,29.1416097998
5.000000000000000,-90.2096369975,29.1490717129
2.000000000000000,-90.2240383536,29.1417761579
1.000000000000000,-90.2336308782,29.1419418471
1.000000000000000,-90.2527503376,29.1875500966
1.000000000000000,-90.1661611771,29.2916218423
1.000000000000000,-90.1613442110,29.2990747014
1.000000000000000,-90.1710111311,29.2690846912
1.000000000000000,-90.1518167763,29.2687329690
1.000000000000000,-90.2046530013,29.2470638891
6.000000000000000,-90.2190391169,29.2548648447
12.000000000000000,-90.2142525752,29.2472354286
7.000000000000000,-90.2142248170,29.2623227742
18.000000000000000,-90.2094384905,29.2546933185
1.000000000000000,-90.2333784996,29.2928408510
1.000000000000000,-90.2285888222,29.2852112946
2.000000000000000,-90.2237734625,29.2926687228
1.000000000000000,-90.2238264960,29.2624942868
3.000000000000000,-90.2190119810,29.2699522558
2.000000000000000,-90.2286147127,29.2701237544
8.000000000000000,-90.2143080700,29.2170592046
5.000000000000000,-90.2239059944,29.2172287847
12.000000000000000,-90.2191204821,29.2095995436
1.000000000000000,-90.1999571980,29.1941715272
1.000000000000000,-90.2190933674,29.2246884865
1.000000000000000,-90.2094668708,29.2396060391
2.000000000000000,-90.2142803262,29.2321475714
1.000000000000000,-90.0992850594,29.1848092728
3.000000000000000,-90.0848866226,29.1920839354
1.000000000000000,-90.0801172970,29.1844546406
1.000000000000000,-90.0897007493,29.1846322903
1.000000000000000,-90.1040985791,29.1773563526
1.000000000000000,-90.0362641472,29.4022190328
1.000000000000000,-90.0793470670,29.4407501097
1.000000000000000,-90.0697898816,29.4254894057
1.000000000000000,-89.9400806356,29.4605316271
1.000000000000000,-90.0456128827,29.4777564191
3.000000000000000,-90.0166964381,29.5073056628
1.000000000000000,-90.0119215159,29.4996749803
1.000000000000000,-89.9975456920,29.4918476506
1.000000000000000,-89.9264427231,29.2870002394
1.000000000000000,-89.8399703427,29.3454729138
1.000000000000000,-89.8352214708,29.3378427135
1.000000000000000,-89.7635702857,29.3137292517
1.000000000000000,-89.7731363662,29.3139347544
1.000000000000000,-89.7634838343,29.3287833647
1.000000000000000,-89.7827033204,29.3141395931
1.000000000000000,-89.8496211683,29.3306148957
1.000000000000000,-89.8400468657,29.3304140531
1.000000000000000,-90.1180132290,29.3510452224
1.000000000000000,-90.1372909859,29.3212500895
1.000000000000000,-90.2476823328,29.3609898999
327.000000000000000,-90.2620911028,29.3687930489
153.000000000000000,-90.2572951454,29.3611632382
291.000000000000000,-90.2572729788,29.3762495742
8.000000000000000,-90.2332014421,29.3984394589
1.000000000000000,-90.2283814544,29.4058928346
1.000000000000000,-90.2235876268,29.3982628273
43.000000000000000,-90.2572508064,29.3913353808
1.000000000000000,-90.2428161119,29.3986154156
1.000000000000000,-90.2332520630,29.3682710591
1.000000000000000,-90.2284333370,29.3757256087
1.000000000000000,-90.2141414989,29.3075817207
1.000000000000000,-90.2093248950,29.3150372896
1.000000000000000,-90.2045369165,29.3074076039
1.000000000000000,-90.1660930868,29.3217864703
1.000000000000000,-90.1178518143,29.4113510544
